capture_date,run_id,attempt,seq,name,step,total,seg,seg_total,from_x_cm,from_y_cm,to_x_cm,to_y_cm,dL_m1_cm,dL_m2_cm,dL_m3_cm,dL_m4_cm,cmd_m1_cm,cmd_m2_cm,cmd_m3_cm,cmd_m4_cm,gain_takeup,gain_payout,bal,motor_result,trigger_result,enc_before,enc_after,laser,circle,err,tilt,quality,rx_len,elapsed_ms,uart_error,raw_tx,raw_rx,notes
2026-07-24,V8-PATROL,1,11,LT-IN1,1,28,1,3,0.00,0.00,-1.33,1.33,0.0747,0.0107,1.6912,-1.6738,0.0755,0.0108,1.7081,1.6571,0.9900,1.0100,0,"[OK,OK,OK,OK]",OK,"[0,0,0,0]","[82,-12,1864,1808]","(-1.60,1.90)","(0.00,0.00)","(-1.60,1.90)","(0.00,0.00)",GOOD,待确认,待确认,NONE,待确认,待确认,"move_ms=2235; release<=2.00"
2026-07-24,V8-PATROL,1,12,LT-IN1,1,28,2,3,-1.33,1.33,-2.67,2.67,0.1597,0.0960,1.7067,-1.6541,0.1613,0.0970,1.7238,1.6376,0.9900,1.0100,0,"[OK,OK,OK,OK]",OK,"[82,-12,1864,1808]","[257,-118,3745,3595]","(-2.80,3.50)","(0.00,0.00)","(-2.80,3.50)","(0.14,-0.23)",GOOD,待确认,待确认,NONE,待确认,待确认,"move_ms=2245; release<=2.00"
2026-07-24,V8-PATROL,1,13,LT-IN1,1,28,3,3,-2.67,2.67,-4.00,4.00,0.2437,0.1808,1.7205,-1.6317,0.2461,0.1826,1.7377,1.6154,0.9900,1.0100,0,"[OK,OK,OK,TIMEOUT]",FRAME_BAD,"[257,-118,3745,3595]","[257,-118,3745,3595]","(-2.90,3.40)","(0.00,0.00)","(-2.90,3.40)","(0.14,-0.23)",COMM_FAIL,0,251,NONE,"04 10 00 F0 00 05 0A 00 00 01 16 06 E3 00 00 02 01 51 44","","M4 no response; trigger_attempted=0; failed_m=4; soft remains (-2.67,2.67)"
2026-07-24,V8-PATROL,2,14,LT-IN1,1,28,1,3,0.00,0.00,-1.33,1.33,0.0747,0.0107,1.6912,-1.6738,0.0755,0.0108,1.7081,1.6571,0.9900,1.0100,0,"[OK,OK,OK,OK]",OK,"[0,0,0,0]","[82,-12,1864,1808]","(-1.60,2.10)","(0.00,0.00)","(-1.60,2.10)","(0.00,0.00)",GOOD,待确认,待确认,NONE,待确认,待确认,"PA0 auto rehome before restart; move_ms=2235; release<=2.00"
2026-07-24,V8-PATROL,2,15,LT-IN1,1,28,2,3,-1.33,1.33,-2.67,2.67,0.1597,0.0960,1.7067,-1.6541,0.1613,0.0970,1.7238,1.6376,0.9900,1.0100,0,"[OK,OK,OK,OK]",OK,"[82,-12,1864,1808]","[257,-118,3745,3595]","(-3.10,3.50)","(0.00,0.00)","(-3.10,3.50)","(0.13,-0.23)",GOOD,待确认,待确认,NONE,待确认,待确认,"move_ms=2245; release<=2.00"
2026-07-24,V8-PATROL,2,16,LT-IN1,1,28,3,3,-2.67,2.67,-4.00,4.00,0.2437,0.1808,1.7205,-1.6317,0.2461,0.1826,1.7377,1.6154,0.9900,1.0100,0,"[OK,TIMEOUT,FRAME_BAD,FRAME_BAD]",FRAME_BAD,"[257,-118,3745,3595]","[257,-118,3745,3595]","(-3.10,3.50)","(0.00,0.00)","(-3.10,3.50)","(0.13,-0.23)",COMM_FAIL,0,251,NONE,"02 10 00 F0 00 05 0A 00 01 00 1F 00 C7 00 00 02 01 97 D8","","M2 no response; trigger_attempted=0; attempted=0x03; failed_m=2; soft remains (-2.67,2.67)"
