capture_date,run_id,event_order,event_type,direction,run_cm,soft_x_cm,soft_y_cm,limit_cm,motor,result,rx_len,elapsed_ms,laser_x_cm,laser_y_cm,circle_x_cm,circle_y_cm,notes
2026-07-24,V7-JOG,1,HOME,NONE,待确认,0.00,0.00,20.0,ALL,OK,待确认,待确认,-0.40,-0.10,1.20,2.80,"center visual-zero; tension normalize count=40 vmax=60; recenter=(-0.40,-0.10) d=0.41 cm"
2026-07-24,V7-JOG,2,JOG_STEP,DOWN,4.00,0.00,-4.25,20.0,ALL,OK,待确认,待确认,0.90,2.80,1.50,7.90,"normal segment; tilt=(-0.75,1.00)"
2026-07-24,V7-JOG,3,JOG_STEP,DOWN,4.00,0.00,-7.82,20.0,ALL,OK,待确认,待确认,1.00,2.80,1.80,12.50,"normal segment before communication failure"
2026-07-24,V7-JOG,4,JOG_CHAIN_FAIL,DOWN,4.00,0.00,-7.82,20.0,M3,TIMEOUT,5,2,1.00,2.80,1.80,12.50,"uart_error=0x00000008 ORE; tx=03 10 00 F0 00 05 0A 00 01 01 75 07 FF 00 00 02 01 6D F0; rx=03 10 00 F0 00; PC0-PC3 locked until KEY0 rehome"
