capture_date,run_id,seq,name,step,total,seg,seg_total,status,complete,from_x_cm,from_y_cm,to_x_cm,to_y_cm,dL_cm,cmd_cm,motor_result,trigger_result,enc_after_0p1deg,laser_cm,circle_cm,err_cm,tilt,quality,notes
2026-07-25,V10-PREARM-RX,21,LT,4,28,1,1,OK,1,-16.00,15.00,-16.39,14.77,"[-0.2857,0.3990,0.1056,-0.0389]","[0.2828,0.4030,0.1066,0.0385]","[OK,OK,OK,OK]",OK,"[5420,-6673,22550,18858]","(-20.10,19.70)","(-20.00,20.00)","(-0.10,-0.30)","(-0.05,0.00)",GOOD,"fine=1; PATROL CAL LT n=1 soft=(-16.39,14.77) err=(-0.10,-0.50) tilt=(-0.05,0.01)"
2026-07-25,V10-PREARM-RX,22,LT-OUT1,5,28,1,7,OK,1,-16.39,14.77,-15.19,13.80,"[-0.6004,-0.7980,-1.4584,0.9740]","[0.5944,0.7900,1.4438,0.9838]","[OK,OK,OK,OK]",OK,"[4771,-5811,20974,17784]","(-18.00,18.70)","(-20.00,20.00)","(2.00,-1.30)","(-0.27,0.17)",GOOD,""
2026-07-25,V10-PREARM-RX,23,LT-OUT1,5,28,2,7,OK,1,-15.19,13.80,-13.99,12.83,"[-0.5560,-0.7604,-1.4543,1.0284]","[0.5505,0.7528,1.4398,1.0387]","[OK,OK,OK,OK]",OK,"[4170,-4989,19403,16649]","(-16.40,17.80)","(-20.00,20.00)","(3.60,-2.20)","(-0.45,0.31)",GOOD,""
2026-07-25,V10-PREARM-RX,24,LT-OUT1,5,28,3,7,OK,1,-13.99,12.83,-12.79,11.87,"[-0.5101,-0.7209,-1.4499,1.0767]","[0.5050,0.7137,1.4354,1.0875]","[OK,OK,OK,OK]",OK,"[3619,-4210,17836,15462]","(-14.50,16.70)","(-20.00,20.00)","(5.50,-3.30)","(-0.63,0.47)",GOOD,""
2026-07-25,V10-PREARM-RX,25,LT-OUT1,5,28,4,7,OK,1,-12.79,11.87,-11.59,10.90,"[-0.4625,-0.6795,-1.4451,1.1195]","[0.4579,0.6727,1.4307,1.1306]","[OK,OK,OK,OK]",OK,"[3119,-3476,16275,14228]","(-12.80,15.50)","(-20.00,20.00)","(7.20,-4.50)","(-0.80,0.64)",GOOD,""
2026-07-25,V10-PREARM-RX,26,LT-OUT1,5,28,5,7,OK,1,-11.59,10.90,-10.40,9.93,"[-0.4134,-0.6361,-1.4400,1.1573]","[0.4093,0.6298,1.4256,1.1689]","[OK,OK,OK,OK]",OK,"[2673,-2789,14719,12952]","(-11.20,14.10)","(-20.00,20.00)","(8.80,-5.90)","(-0.94,0.83)",GOOD,""
2026-07-25,V10-PREARM-RX,27,LT-OUT1,5,28,6,7,OK,1,-10.40,9.93,-9.20,8.97,"[-0.3629,-0.5909,-1.4344,1.1909]","[0.3593,0.5850,1.4201,1.2029]","[OK,OK,OK,OK]",OK,"[2281,-2152,13169,11639]","(-10.00,12.60)","(-20.00,20.00)","(10.00,-7.40)","(-1.00,1.00)",GOOD,""
2026-07-25,V10-PREARM-RX,28,LT-OUT1,5,28,7,7,OK,1,-9.20,8.97,-8.00,8.00,"[-0.3112,-0.5438,-1.4284,1.2208]","[0.3081,0.5383,1.4141,1.2330]","[OK,OK,OK,OK]",OK,"[1945,-1564,11626,10293]","(-9.30,10.80)","(-20.00,20.00)","(10.60,-9.10)","(-1.00,1.00)",GOOD,""
2026-07-25,V10-PREARM-RX,29,LT-OUT2,6,28,1,3,OK,1,-8.00,8.00,-6.67,6.67,"[-0.4852,-0.4267,-1.7537,1.5435]","[0.4804,0.4224,1.7361,1.5590]","[OK,OK,OK,OK]",OK,"[1421,-1102,9731,8592]","(-8.20,8.50)","(-20.00,20.00)","(11.80,-11.50)","(-1.00,1.00)",GOOD,""
2026-07-25,V10-PREARM-RX,30,LT-OUT2,6,28,2,3,OK,1,-6.67,6.67,-5.33,5.33,"[-0.4069,-0.3466,-1.7438,1.5771]","[0.4028,0.3431,1.7263,1.5928]","[OK,OK,OK,OK]",OK,"[980,-728,7847,6854]","(-7.60,7.80)","(0.00,0.00)","(-7.60,7.80)","(0.83,-1.00)",GOOD,""
