capture_date,run_id,seq,name,step,total,seg,seg_total,from_x_cm,from_y_cm,to_x_cm,to_y_cm,dL_m1_cm,dL_m2_cm,dL_m3_cm,dL_m4_cm,cmd_m1_cm,cmd_m2_cm,cmd_m3_cm,cmd_m4_cm,gain_takeup,gain_payout,bal,motor_result,trigger_result,enc_before,enc_after,laser,circle,err,tilt,quality,notes
2026-07-24,V7-PATROL,23,LT,4,28,3,5,-13.60,12.90,-14.40,13.60,0.4069,0.4861,1.0063,-0.7271,0.4109,0.4909,1.0163,0.7199,0.9900,1.0100,0,"[OK,OK,OK,OK]",OK,"[4316,-4564,19102,16541]","[4764,-5100,NA,17327]","(-14.30,18.20)","(-20.00,20.00)","(5.70,-1.80)","(-0.76,0.43)",ENC_PARTIAL,"M3 encoder read TIMEOUT; denc_m3=NA; motion completed; release<=1.2"
2026-07-24,V7-PATROL,24,LT,4,28,4,5,-14.40,13.60,-15.20,14.30,0.4277,0.5052,1.0082,-0.7029,0.4320,0.5103,1.0183,0.6959,0.9900,1.0100,0,"[OK,OK,OK,OK]",OK,"[4764,-5100,NA,17327]","[5235,-5657,21322,18086]","(-15.50,18.90)","(-20.00,20.00)","(4.50,-1.10)","(-0.64,0.33)",GOOD,"Prior M3 read was NA; next segment read complete; release<=1.2"
2026-07-24,V7-PATROL,25,LT,4,28,5,5,-15.20,14.30,-16.00,15.00,0.4479,0.5237,1.0100,-0.6766,0.4524,0.5290,1.0201,0.6699,0.9900,1.0100,0,"[OK,OK,OK,OK]",OK,"[5235,-5657,21322,18086]","[5729,-6234,22436,18817]","(-16.70,19.50)","(-20.00,20.00)","(3.30,-0.50)","(-0.52,0.24)",GOOD,"PATROL SEG DATA; release<=1.2"
2026-07-24,V7-PATROL,26,LT,4,28,1,1,-16.00,15.00,-16.44,15.07,-0.0304,0.3770,0.3460,-0.2089,0.0301,0.3808,0.3494,0.2068,0.9900,1.0100,0,"[OK,OK,OK,OK]",OK,"[5729,-6234,22436,18817]","[5696,-6650,22817,19043]","(-17.50,19.30)","(-20.00,20.00)","(2.50,-0.70)","(-0.44,0.27)",GOOD,"PATROL fine SEG DATA; release<=1.2"
2026-07-24,V7-PATROL,27,LT,4,28,1,1,-16.44,15.07,-16.88,15.19,0.0244,0.3549,0.3755,-0.2242,0.0247,0.3585,0.3792,0.2219,0.9900,1.0100,0,"[OK,OK,OK,OK]",OK,"[5696,-6650,22817,19043]","[5723,-7041,23231,19285]","(-18.40,19.10)","(-20.00,20.00)","(1.60,-0.90)","(-0.37,0.29)",GOOD,"PATROL fine SEG DATA; release<=1.2"
2026-07-24,V7-PATROL,28,LT,4,28,1,1,-16.88,15.19,-17.26,15.42,0.1363,0.2883,0.4176,-0.2540,0.1377,0.2911,0.4218,0.2514,0.9900,1.0100,0,"[OK,OK,OK,OK]",OK,"[5723,-7041,23231,19285]","[5873,-7359,23691,19559]","(-19.20,19.00)","(-20.00,20.00)","(0.80,-1.00)","(-0.27,0.30)",GOOD,"PATROL fine SEG DATA; release<=1.2"
2026-07-24,V7-PATROL,29,LT,4,28,1,1,-17.26,15.42,-17.58,15.74,0.2300,0.2105,0.4298,-0.2656,0.2323,0.2126,0.4341,0.2629,0.9900,1.0100,0,"[OK,OK,OK,OK]",OK,"[5873,-7359,23691,19559]","[6127,-7591,24165,19846]","(-19.70,19.40)","(-20.00,20.00)","(0.30,-0.60)","(-0.20,0.26)",GOOD,"PATROL fine SEG DATA; release<=1.2"
2026-07-24,V7-PATROL,30,LT-OUT1,5,28,1,8,-17.58,15.74,-16.38,14.77,-0.6434,-0.8336,-1.4624,0.9128,0.6369,0.8252,1.4477,0.9220,0.9900,1.0100,0,"[OK,OK,OK,OK]",OK,"[6127,-7591,24165,19846]","[5433,-6690,22585,18840]","(-17.60,18.80)","(-20.00,20.00)","(2.40,-1.20)","(-0.42,0.36)",GOOD,"PATROL SEG DATA; release<=1.2"
2026-07-24,V7-PATROL,31,LT-OUT1,5,28,2,8,-16.38,14.77,-15.19,13.80,-0.6007,-0.7978,-1.4585,0.9741,0.5947,0.7898,1.4440,0.9839,0.9900,1.0100,0,"[OK,OK,OK,OK]",OK,"[5433,-6690,22585,18840]","[4783,-5828,21009,17766]","(-16.00,17.80)","(-20.00,20.00)","(4.00,-2.20)","(-0.58,0.48)",GOOD,"PATROL SEG DATA; release<=1.2"
2026-07-24,V7-PATROL,32,LT-OUT1,5,28,3,8,-15.19,13.80,-13.99,12.84,-0.5564,-0.7602,-1.4544,1.0286,0.5508,0.7526,1.4399,1.0388,0.9900,1.0100,0,"[OK,OK,OK,OK]",OK,"[4783,-5828,21009,17766]","[4183,-5007,19437,16632]","(-14.10,17.00)","(-20.00,20.00)","(5.90,-3.00)","(-0.77,0.60)",GOOD,"PATROL SEG DATA; release<=1.2"
2026-07-24,V7-PATROL,33,LT-OUT1,5,28,4,8,-13.99,12.84,-12.79,11.87,-0.5104,-0.7206,-1.4500,1.0768,0.5053,0.7134,1.4355,1.0876,0.9900,1.0100,0,"[OK,OK,OK,OK]",OK,"[4183,-5007,19437,16632]","[3632,-4228,17870,15445]","(-12.20,16.10)","(-20.00,20.00)","(7.80,-3.90)","(-0.95,0.73)",GOOD,"PATROL SEG DATA; release<=1.2"
2026-07-24,V7-PATROL,34,LT-OUT1,5,28,5,8,-12.79,11.87,-11.59,10.90,-0.4629,-0.6792,-1.4452,1.1196,0.4582,0.6724,1.4308,1.1308,0.9900,1.0100,0,"[OK,OK,OK,OK]",OK,"[3632,-4228,17870,15445]","[3132,-3494,16309,14211]","(-11.00,14.90)","(-20.00,20.00)","(9.00,-5.10)","(-1.00,0.93)",GOOD,"PATROL SEG DATA; release<=1.2"
2026-07-24,V7-PATROL,35,LT-OUT1,5,28,6,8,-11.59,10.90,-10.40,9.93,-0.4138,-0.6359,-1.4401,1.1575,0.4097,0.6295,1.4257,1.1690,0.9900,1.0100,0,"[OK,OK,OK,OK]",OK,"[3132,-3494,16309,14211]","[2685,-2807,14753,12935]","(-9.80,13.10)","(-20.00,20.00)","(10.20,-6.90)","(-1.00,1.00)",GOOD,"PATROL SEG DATA; release<=2.0"
2026-07-24,V7-PATROL,36,LT-OUT1,5,28,7,8,-10.40,9.93,-9.20,8.97,-0.3633,-0.5906,-1.4346,1.1911,0.3597,0.5847,1.4202,1.2030,0.9900,1.0100,0,"[OK,OK,OK,TIMEOUT]",FRAME_BAD,"[2685,-2807,14753,12935]","[2685,-2807,14753,12935]","(-10.10,13.30)","(-20.00,20.00)","(9.90,-6.70)","(-1.00,1.00)",COMM_FAIL,"M4 buffer TIMEOUT; uart_error=0x00000008 ORE; trigger not attempted; patrol aborted at waypoint 5/28"
