date,run,event,seq,name,step,total,seg,total_seg,status,from_x_cm,from_y_cm,to_x_cm,to_y_cm,dL_cm,cmd_cm,gain,motor_result,trigger_result,enc_before_0p1deg,enc_after_0p1deg,denc_0p1deg,laser_cm,circle_cm,err_cm,tilt,quality,notes
2026-07-25,v12-retry1-run13,segment,16,LT,4,28,1,5,OK,-12.00,11.50,-12.80,12.20,"[0.3636,0.4460,1.0021,-0.7698]","[0.3672,0.4504,1.0121,0.7621]","[1.0100,1.0100,1.0100,0.9900]","[OK,OK,OK,OK]",OK,"[3491,-3557,16886,14899]","[3892,-4049,17991,15731]","[401,-492,1105,832]","(-12.00,20.70)","(-20.00,20.00)","(8.00,0.70)","(-0.90,-0.11)",GOOD,"circle_id=1 target LT"
2026-07-25,v12-retry1-run13,segment,17,LT,4,28,2,5,OK,-12.80,12.20,-13.60,12.90,"[0.3855,0.4663,1.0042,-0.7494]","[0.3893,0.4710,1.0143,0.7419]","[1.0100,1.0100,1.0100,0.9900]","[OK,OK,OK,OK]",OK,"[3892,-4049,17991,15731]","[4317,-4563,19099,16541]","[425,-514,1108,810]","(-13.30,21.50)","(-20.00,20.00)","(6.70,1.50)","(-0.77,-0.22)",GOOD,"circle_id=1 target LT"
2026-07-25,v12-retry1-run13,segment,18,LT,4,28,3,5,OK,-13.60,12.90,-14.40,13.60,"[0.4069,0.4861,1.0063,-0.7271]","[0.4109,0.4909,1.0163,0.7199]","[1.0100,1.0100,1.0100,0.9900]","[OK,OK,OK,OK]",OK,"[4317,-4563,19099,16541]","[4765,-5099,20208,17327]","[448,-536,1109,786]","(-14.50,22.00)","(-20.00,20.00)","(5.50,2.00)","(-0.63,-0.31)",GOOD,"circle_id=1 target LT"
2026-07-25,v12-retry1-run13,segment,19,LT,4,28,4,5,OK,-14.40,13.60,-15.20,14.30,"[0.4277,0.5052,1.0082,-0.7029]","[0.4320,0.5103,1.0183,0.6959]","[1.0100,1.0100,1.0100,0.9900]","[OK,OK,OK,OK]",OK,"[4765,-5099,20208,17327]","[5237,-5657,21319,18086]","[472,-558,1111,759]","(-16.00,22.50)","(-20.00,20.00)","(4.00,2.50)","(-0.49,-0.39)",GOOD,"circle_id=1 target LT"
2026-07-25,v12-retry1-run13,segment,20,LT,4,28,5,5,OK,-15.20,14.30,-16.00,15.00,"[0.4479,0.5237,1.0100,-0.6766]","[0.4524,0.5290,1.0201,0.6699]","[1.0100,1.0100,1.0100,0.9900]","[OK,OK,OK,OK]",OK,"[5237,-5657,21319,18086]","[5730,-6233,22432,18817]","[493,-576,1113,731]","(-17.30,23.00)","(-20.00,20.00)","(2.70,3.00)","(-0.33,-0.48)",GOOD,"PATROL NODE LT soft=(-16.00,15.00) enc=[5730,-6233,22432,18817]; fine follows"
2026-07-25,v12-retry1-run13,segment,21,LT,4,28,1,1,OK,-16.00,15.00,-16.30,14.67,"[-0.3604,0.3500,-0.0209,0.0453]","[0.3568,0.3535,0.0207,0.0457]","[0.9900,1.0100,0.9900,1.0100]","[OK,OK,OK,OK]",OK,"[5730,-6233,22432,18817]","[5341,-6620,22409,18767]","[-389,-387,-23,-50]","(-18.10,22.10)","(-20.00,20.00)","(1.90,2.10)","(-0.26,-0.34)",GOOD,"fine=1 release<=1.20"
2026-07-25,v12-retry1-run13,segment,22,LT,4,28,1,1,OK,-16.30,14.67,-16.60,14.33,"[-0.3583,0.3522,-0.0165,0.0528]","[0.3547,0.3558,0.0164,0.0533]","[0.9900,1.0100,0.9900,1.0100]","[OK,OK,OK,OK]",OK,"[5341,-6620,22409,18767]","[4954,-7007,22391,18709]","[-387,-387,-18,-58]","(-18.50,21.60)","(-20.00,20.00)","(1.50,1.60)","(-0.20,-0.24)",GOOD,"fine=1 release<=1.20"
2026-07-25,v12-retry1-run13,segment,23,LT,4,28,1,1,OK,-16.60,14.33,-16.92,14.01,"[-0.3460,0.3642,0.0082,0.0470]","[0.3425,0.3678,0.0082,0.0475]","[0.9900,1.0100,1.0100,1.0100]","[OK,OK,OK,OK]",OK,"[4954,-7007,22391,18709]","[4580,-7409,22400,18657]","[-374,-402,9,-52]","(-19.30,20.60)","(-20.00,20.00)","(0.70,0.60)","(-0.11,-0.09)",GOOD,"fine=1 release<=1.20"
2026-07-25,v12-retry1-run13,segment,24,LT,4,28,1,1,OK,-16.92,14.01,-17.26,13.72,"[-0.3260,0.3795,0.0443,0.0335]","[0.3227,0.3833,0.0447,0.0338]","[0.9900,1.0100,1.0100,1.0100]","[OK,OK,OK,OK]",OK,"[4580,-7409,22400,18657]","[4228,-7826,22449,18620]","[-352,-417,49,-37]","(-20.40,19.50)","(-20.00,20.00)","(-0.40,-0.50)","(0.00,0.06)",GOOD,"fine=1 release<=1.20; PATROL CAL LT n=1 soft=(-17.26,13.72) err=(-0.40,-0.50) enc=[4228,-7826,22449,18620]"
2026-07-25,v12-retry1-run13,calibration,,LT,4,28,,,,OK,,,,,,,,,,"[4228,-7826,22449,18620]",,"(-20.40,19.50)","(-20.00,20.00)","(-0.40,-0.50)","(0.00,0.06)",GOOD,"PATROL AVG LT n=1 soft=(-17.26,13.72) err=(-0.40,-0.50) tilt=(0.00,0.06) enc_avg=[4228,-7826,22449,18620]"
2026-07-25,v12-retry1-run13,segment,25,LT-OUT1,5,28,1,7,OK,-17.26,13.72,-15.94,12.90,"[-0.4568,-0.9343,-1.4498,0.9301]","[0.4522,0.9249,1.4353,0.9394]","[0.9900,0.9900,0.9900,1.0100]","[OK,OK,OK,OK]",OK,"[4228,-7826,22449,18620]","[3734,-6817,20883,17595]","[-494,1009,-1566,-1025]","(-17.90,19.20)","(-20.00,20.00)","(2.10,-0.80)","(-0.28,0.12)",GOOD,"outbound from LT"
2026-07-25,v12-retry1-run13,segment,26,LT-OUT1,5,28,2,7,OK,-15.94,12.90,-14.62,12.09,"[-0.4071,-0.9013,-1.4444,0.9893]","[0.4030,0.8922,1.4300,0.9992]","[0.9900,0.9900,0.9900,1.0100]","[OK,OK,OK,OK]",OK,"[3734,-6817,20883,17595]","[3295,-5843,19322,16505]","[-439,974,-1561,-1090]","(-16.00,18.40)","(-20.00,20.00)","(4.00,-1.60)","(-0.46,0.22)",GOOD,"outbound from LT"
2026-07-25,v12-retry1-run13,segment,27,LT-OUT1,5,28,3,7,OK,-14.62,12.09,-13.29,11.27,"[-0.3561,-0.8663,-1.4386,1.0421]","[0.3525,0.8576,1.4242,1.0525]","[0.9900,0.9900,0.9900,1.0100]","[OK,OK,OK,OK]",OK,"[3295,-5843,19322,16505]","[2910,-4907,17768,15356]","[-385,936,-1554,-1149]","(-14.40,17.40)","(-20.00,20.00)","(5.60,-2.60)","(-0.63,0.38)",GOOD,"outbound from LT"
2026-07-25,v12-retry1-run13,segment,28,LT-OUT1,5,28,4,7,OK,-13.29,11.27,-11.97,10.45,"[-0.3038,-0.8294,-1.4324,1.0890]","[0.3008,0.8211,1.4181,1.0999]","[0.9900,0.9900,0.9900,1.0100]","[OK,OK,OK,OK]",OK,"[2910,-4907,17768,15356]","[2582,-4011,16220,14156]","[-328,896,-1548,-1200]","(-13.20,16.00)","(-20.00,20.00)","(6.80,-4.00)","(-0.76,0.58)",GOOD,"outbound from LT"
2026-07-25,v12-retry1-run13,segment,29,LT-OUT1,5,28,5,7,OK,-11.97,10.45,-10.65,9.63,"[-0.2505,-0.7903,-1.4257,1.1308]","[0.2480,0.7824,1.4115,1.1421]","[0.9900,0.9900,0.9900,1.0100]","[OK,OK,OK,OK]",OK,"[2582,-4011,16220,14156]","[2311,-3157,14680,12910]","[-271,854,-1540,-1246]","(-12.10,14.60)","(-20.00,20.00)","(7.90,-5.40)","(-0.88,0.79)",GOOD,"outbound from LT"
2026-07-25,v12-retry1-run13,segment,30,LT-OUT1,5,28,6,7,OK,-10.65,9.63,-9.32,8.82,"[-0.1962,-0.7492,-1.4185,1.1679]","[0.1942,0.7417,1.4043,1.1796]","[0.9900,0.9900,0.9900,1.0100]","[OK,OK,OK,OK]",OK,"[2311,-3157,14680,12910]","[2099,-2348,13147,11623]","[-212,809,-1533,-1287]","(-11.00,13.10)","(-20.00,20.00)","(9.00,-6.90)","(-1.00,1.00)",GOOD,"outbound from LT"
2026-07-25,v12-retry1-run13,segment,31,LT-OUT1,5,28,7,7,OK,-9.32,8.82,-8.00,8.00,"[-0.1412,-0.7059,-1.4106,1.2010]","[0.1398,0.6988,1.3965,1.2130]","[0.9900,0.9900,0.9900,1.0100]","[OK,OK,OK,OK]",OK,"[2099,-2348,13147,11623]","[1946,-1585,11622,10299]","[-153,763,-1525,-1324]","(-9.70,11.70)","(-20.00,20.00)","(10.30,-8.30)","(-1.00,1.00)",GOOD,"PATROL NODE LT-OUT1 soft=(-8.00,8.00) enc=[1946,-1585,11622,10299]"
2026-07-25,v12-retry1-run13,segment,32,LT-OUT2,6,28,1,3,OK,-8.00,8.00,-6.67,6.67,"[-0.4852,-0.4267,-1.7537,1.5435]","[0.4804,0.4224,1.7361,1.5590]","[0.9900,0.9900,0.9900,1.0100]","[OK,OK,OK,OK]",OK,"[1946,-1585,11622,10299]","[1422,-1124,9728,8598]","[-524,461,-1894,-1701]","(-8.90,9.40)","(-20.00,20.00)","(11.10,-10.60)","(-1.00,1.00)",GOOD,"outbound from LT"
2026-07-25,v12-retry1-run13,segment,33,LT-OUT2,6,28,2,3,OK,-6.67,6.67,-5.33,5.33,"[-0.4069,-0.3466,-1.7438,1.5771]","[0.4028,0.3431,1.7263,1.5928]","[0.9900,0.9900,0.9900,1.0100]","[OK,OK,OK,OK]",OK,"[1422,-1124,9728,8598]","[982,-750,7844,6860]","[-440,374,-1884,-1738]","(-7.70,6.90)","(-20.00,20.00)","(12.30,-13.10)","(-1.00,1.00)",GOOD,"current paste ends after this segment in visible context"
